Medicine Name,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,Condition,Content,Substitute,Drug Class,InteractionEffect,NotRecommendedFor,InteractsWith0,InteractsWith1,InteractsWith2
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I have only been taking it for a couple days and I feel a little irritable and I sleep very well. I'm only twenty. But I have postpartum depression, I have had two kids. I hope that after a couple of weeks it starts getting better. I tried Cymbalta but the side effects were bad. I was irritable and could not sleep and I was tied all the time.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""The first couple of days were great. It calmed my anxiety and OCD thoughts. On day 3 I ended up calling an ambulance in the middle of the night because I couldn't see straight and felt like I couldn't breathe. Worse panic attack I've ever had. Stopped taking it the next day.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Body Dysmorphic DisorderOff-label,"""Have been on Mozarin(Escitalopram 15mg) for about 3 years with one few months interval trying to give it up. Greatly helps for depression and social anxiety, makes body dysmorphic disorder easier to handle and somehow accept but absolutely doesn't cure. After this period of time decided to go off the medication as didn't see it was strong enough anymore. It's much worse without it, planning to go back on it or maybe start something new. Only drawback horrible withdrawal symptoms passing after 2-3 weeks.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"""This medication has helped me SO much.  I started on a really low dose as I was nervous about taking it.  If I’m honest, I struggled with headaches and feeling a bit “odd” for a few weeks but I persevered as I was desperate to not have panic attacks or feel suicidal. Sertraline has helped me so and I will continue to take it.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I have been it for about 5 years now and thankfully I have had no side effects. I take two 100mg  sertraline at night and been working great. I have tried others ( Lost count how many ) but never worked. It's been hit and miss till I was prescribed Sertraline. That was heaven sent.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""Here's my experience with this drug. Day 3 of taking 5 mg with Coreg, skin was hot and couldn't sleep. So I stopped. About a month and a half later, new doctor put me on Lexapro because Coreg screwed up my adrenal glands. Took 5 mg for a week with metoprolol, then 3 days on 10 mg and skin was itchy and burning. Ended up in ER and they gave me hydroxyzine in case of allergy. It could be the manufacturer Lupin that has a chemical in there that does damage to me. This is my experience, maybe Lexapro goes well for you. Will NOT take this ever again.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I took Lexapro for years. No one told me that it had side effects of hair loss. Upon doing my own research and going to several doctors and a dermatologist that told me there was nothing I could do I figured it out on my own.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"""I had a baby 4 months ago. Had a horrible Postpartum experience and started experiencing OCD thoughts/depression/anxiety. The whole postpartum depression experience. It’s the worst I have ever mentally felt in my life. I just didn’t feel like myself. I started Zoloft on 25mg and it helped but it was still there. I started on 50mg. It took about 8 weeks but I’m almost completely better. I never review stuff but this really helped me. I feel like myself again. Please try it and give it time. It saved my life""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""Back in 2018 I went away on vacation, one morning I woke up super dehydrated and didn’t realize how dry my mouth was until I couldn’t swallow. I started to panic and noticed my heart pounding out of my chest. I feared the worst and rushed to the emergency room where they didn’t find anything. For the following month I continued to feel like my heart was always racing and I that something was very wrong with me. After a full cardiac work up they told me that it was all anxiety driven. I started on lexapro 10mg. The first couple weeks I was still very anxious. At the 2 week mark I felt okay enough to travel for a weekend away. I had my good days and my bad but I fought hard to tell myself it was all in my head. After a month I was very close to being back to normal and after about 6 months of living stress & anxiety free I started to taper off of it. It worked for me and it can work for you too!""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"Zoloft (sertraline)""I had been a marijuana smoker for many years but stopped and then found I was depressed, couldn't sleep or concentrate very well and would get panic attacks.  My drug & alcohol physician put me onto Prozac but after just one tablet, I suffered anxiety and was very jittery and almost felt sea-sick and terrified.  He then prescribed Zoloft for me.  What a WONDERFUL drug!  After one day, I felt focussed, clear headed and happy.  I went on to attend Melbourne University as a mature aged student and studied philiosophy - it was amazing.  I'd never felt so intelligent or capable in my life.  I eventually came off Zoloft after a few years and have never looked back.  It may not suit everyone but it certainly was just what I needed!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""Hi I have been been battling anxiety for about 6 years. I suffer with really bad intrusive thoughts. I’ve taken Zoloft (sertraline ) in the past and it really works I started to feel the normal me again no intrusive thoughts anymore. I decided to stop taking it and what happen 1 year later and 3 months my anxiety came back and my thoughts too. So I am back on Zoloft. I am on 50mg. I’ve been taking it for 1 week and half already I am again experiencing side effects like anxiety spiking, sweating, insomnia and  upset stomach but it only last for a couple of days. I have experienced the side effects before when I first took Zoloft.. I just hope this review helps people that are going through the same situation that I am going through. What I do recommend is to stick with the Zoloft the fist days it feels like a nightmare but then one day you will wake up and no more anxiety and intrusive thoughts..:)""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I’ve suffered from longstanding low-level depression ever since I can remember, and have often pondered with the idea of trying an antidepressant even though I stay away from medication as much as I can. 
Everything has worsened over the last year since my youngest, fittest sister died prematurely of breast cancer with extensive liver metastasis (or whichever came first)…I was with her for the 7 weeks after diagnosis and watched her take her last 2 breaths; this pain has become more intense lately and I would find myself crying like a baby over my little sister…
My demented elderly father got a prescription for Zoloft (he must also be depressed because of my sister’s death), but since no one at his home was giving it to him I decided to give it a try!
I’ve been taking 25mg (elixir) for 2 weeks and have seen a huge difference in my crying spells; I still think about my little sister, but don’t feel that overwhelming sadness as much…
The first week I took the Zoloft at bedtime, but started to notice difficulty falling asleep, so now I take it in the morning…I felt no other side effects!
I’m far from being a peppy, energetic person, but at least some of my suffering has been alleviated, and that’s what living is about; who needs to be in constant emotional pain!?
Good luck to all!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Borderline Personality DisorderOff-label,"""I first started taking this in 2012 and at first all it did was make me incredibly tired but then it also made my moods more up n down and caused me to have psychotic episodes. i abruptly stopped taking it at that point (stupid i know....i shouldve tapered off) and from doing so i had extreme psychotic episodes. 
Ever since taking it all those years ago, ive had numerous psychotic episodes. My dr thinks it was the sertraline that reacted badly with my brain, leaving me now prone to having psychotic eps. 
I tried different dosages too, starting from the smallest dosage. I would never recommend it to anyone after what i experienced with it but then again everyone is different. All i know is that Sertraline made me worse mentally.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I have been on this medication since last February, so almost two years. 
Wow, what a wonderful change it has made for me. I am so indebted and thank God so much that these medications are now available and are helping to make lives better.
I had severe OCD, crying spells daily due to the overwhelming constancy of the anxiety, heart palpitating constantly, I was a mess on the inside. I never felt at peace even though I tried many things to help feel more calmed. I am 21 years of age.I am now so at peace, I notice that when the OCD comes, which it still does, the overwhelming anxiety is not there anymore. I have less fear of the future. It's a miracle for me.
Side effects: Weight gain/sex drive/sleepy. I was 145 pounds and now I am 175 pound""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I currently take Lexapro 17.5mg for OCD/depression/anxiety. This drug has given me my life back. I was going off the deep end until I was prescribed this medication. I had some side effects to start off (trouble sleeping, weight gain), but have curbed these side effects through diet and exercise. Lexapro does a great job lifting depression and definitely helps with anxiety. I highly recommend this SSRI over Zoloft, which I was on for about 2 years. I also like the fact that the dosing of this med is much lower than that of Zoloft. Great experience with Lexapro. Helps with some of my anger too.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"""This is the first time I have been on Escitalopram (5 mg). My anxiety got worse in the last month and I had so many panic attacks, me, who I've never had such of this. I could not drive anywhere because of my fear of vomiting in the car. As soon as I got home, everything was alright.

I read so many comments here and I trust this medicine so much! I'm feeling quite alright so far (it's been 5 hours since the first dose). You all got this and are strong and powerful! I wish you all the best!!!""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I started sertraline three days ago 50mg for stress  and depression i also take propranolol 30mg a day and iv just felt spaced out always need to sleep not really hungry feel sick constantly and cant really get out of bed my legs feel really weird like tingling feeling but i feel a lot calmer already like im on cloud 9 i was getting bad thoughts not just about hurting myself but other people and for the first time in ages iv felt abit normal just hope the side affects soon wear off and start feeling myself agen""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Social Anxiety Disorder,"Zoloft (sertraline)""20 years of social anxiety, ocd, IBS, I couldn’t take it anymore. Started Zoloft 3 months ago and has been very helpful.I started on 25mg and increased to 50mg. I am not 100% yet, but getting there.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Levocetirizine,Drowsiness,Dry mouth,Headache,Fatigue,,Allergies,"""I have been taken Xyzal for about 3-4 years now. I feel like I tried it all, claritin, Zyrtec, allegra, mucinex; tried the 'D' versions of them all as well, not to mention all of the over the counter nasal sprays. 
I was the one that actually suggested Levocetirizine to my allergist because my cousin took it and it helped her, figured we had similar DNA. It was and continues to be the only drug that helps, it's so cheap on Amazon too. Now I only use Xyzal, Vlonase, and Visine  I am actually alarmed by all these negative reviews, I've always taken it in the morning, maybe I will stop doing so. I usually go off it 4 months out of the year, and haven't noticed a change when I do, so maybe the side-effects do not happen to everyone. I only found this review board when I was looking into taking Aller-max in conjunction with Xyzal, because in the REALLY bad season, nothing helps 100%.

I'm going to be more conscious about this drowsiness thing, it seems like it makes sense thinking back.""",,Antihistamine,Sedation risk,Heart Disease,Cetirizine,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Major Depressive Disorder,"Zoloft (sertraline)""I took this 2 years ago at 150mg... lost weight, great antidepressant I'm on 60mg's of Prozac. Works very well too but thinking of going back to Zoloft because of weight gain, but I give it 10. Great medicine.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I found myself saddled with intense anxiety in the early spring of 2022. I’m still not quite certain how it happened, or how I let it in, but it became a daily source of discomfort for me. I believe that it was one panic attack, which scared me so much, that I suddenly began thinking about panic attacks all of the time. This may be what contributed to the ongoing problem. I began to avoid things that I felt might put me into uncomfortable situations and trigger the anxiety attacks. Even going into the grocery store became a huge problem for me. I would have to plan in advance in order to do it as quickly as possible. If I had to drive somewhere, I needed to find the shortest possible route. Anyway, I began taking 5 mg of Lexapro in late June, and although it was slow, I now feel like my old self. Taking the long way home and not thinking about anxiety as much, if at all. I had no side effects whatsoever, and I want to tell anyone who is considering it, that it’s OK!""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Major Depressive Disorder,"""I was diagnosed with major depression, severe anxiety, panic disorder, anadonia. Been on zoloft for about 2 weeks symptoms in the beginning were more severe panic attacks at random and anxiety I was hopeless. Diarrhea, upset stomach, insomnia, sexual disfunction unable to orgasm or enjoy sex at all. I'm feeling a little more hopeful haven't had a panic attack for a couple days. I am feeling a bit better. Thankful for feeling this way than I was before. I also take xanax as needed small doses as anxiety and panic are onset.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Generalized Anxiety DisorderOff-label,"""I was prescribed 75 mg last year by my GP for multiple conditions, including anxiety and depression. Gave me acute glaucoma, abnormal bleeding and high blood pressure. Slept 10 hours a day and had no motivation. Lots of gas, indigestion, bloating, constant farting and belching. Diarrhea. And I mean the worst kind of diarrhea. Caused major weight gain. Gained 30 pounds in one year. Had to buy myself an entirely new wardrobe. Sedated and made me drowsy. Felt like a lump. Couldn’t leave my house or do anything. I am now lowering my dose to 25 mg, staying there for a while and then weaning off. Rating this med a 6 because it does help with mental health but not recommending to anyone. DO NOT TAKE!!!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I was prescribed Lexapro about a year and a half ago after suffering from severe depression and anxiety (female, 23). Started on 10mg and have just upped the dosage to 20mg. I get a yawn and get a bit of nausea, also makes me a bit frigidity/hard to focus. Even so, it's done wonders on my moods and how my brain seems to function. It helps me sleep, I don't have crazy vivid dreams any more. If I miss a dose or two you can really tell the difference. It definitely mellows me out and I feel like I can manage basic day to day things since starting it. I have had some trouble with orgasming, however not always. Can't drink any alcohol on it because it goes straight my head and makes me go silly. Lexapro has changed my life.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""Seems to take the edge of anxiety to some extent. Also having acceptance and commitment therapy which is helping quite a bit too. Still have bad days though but not quite as bad generally as before I was on the medication. No real side effects from what I've seen.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Generalized Anxiety DisorderOff-label,"""I have been dealing with manageable anxiety for a few years until a few months ago then my allergy to pollen caused shortness of breathing that triggered a few panic attacks. I tried for a few weeks to stay away from meds but my anxiety and racing thoughts got worse. I started with 10mg of Escitalopram but couldn’t take it more than two days due to the horrible reactions i.e. increased blood pressure, trembling hands and legs, and heart palpitations. I switched to Sertraline 25mg and my anxiety started to fade slowly and the appetite is back. I’m on day 10 and since yesterday my mood boosted significantly and racing thoughts almost disappeared. I am still dealing with side effects such as mild insomnia, dizziness, and low energy. It’s probably very early to judge but I am glad the med gave me some relief so far.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"""Pros : 10 mg of Lexapro does well treating anxiety.
Cons: Cannot have an orgasm, numb to feeling any sexual pleasure.
Solution: Added 300mg of Wellbutrin which helps to make sex enjoyable (reduces the numbness and helps with sex drive), but still haven't had an orgasm during sex since starting Lexapro about 8 months ago.

Basically, you have to trade in your sex life to live a life without anxiety. It's like how Ariel from The Little Mermaid had to trade in her voice to become a human. For me, the sexual side effects are equivalent to Paxil.

""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Back Pain,"Cataflam (diclofenac)""I have never used a medication that worked as well as  Cataflam. It was as though I was able to actually feel the swelling leaving my body. I had no side effects at all.""",,NSAID,Increased bleeding risk,Hypertension,Aspirin,Ibuprofen,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Bipolar DisorderOff-label,"""It's almost a week since taking 2.5 mg Lexapro in the morning and a quarter seroquel at night. 
The first few days I was irritable and very on edge. The third day I had an anxiety attack while watching tv. It came over me slowly, and didn't leave that night. 
I have slight hypomania.
If I am in a really challenging situation, I still feel slightly vulnerable and anxious. I hope that when my body is used to the medication that will sort itself out. I do have ringing in my ears, which is annoying. 
I'm not as hungry, and use the toilet a lot more. I can deal with that. I may even lose some weight, which I've been battling for years now. 
I don't think I'll be stopping lexapro. It seems to be getting better.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I have been on Lexapro 5mgs, 10mgs and 20mgs over a period of 6 years. 10mgs daily seems to be the best dosage for Generalized Anxiety Disorder. Many people don't realize that it takes 4 to 6 weeks for this medicine to work. The first 3 days I felt very good and then felt tired or depressed for a couple days. Taking Lexapro with Klonopin 0.5mgs (2x daily) helps those early stage side effects.  20mgs tends to increase aggressive behavior. After about 5 weeks I found myself to be more confident in activities and less concerned about what others would think of me. My side effects are, short term memory loss, difficulty falling asleep at night, lower sex drive, but longer Stamina when engaged in sex.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I have been struggling with Anxiety for around half of my life, enough was enough. Days prior to consuming alcohol, the boozy blues was too much, 3-4 days of increased anxiety was affecting me and my family life. I always was sceptical about meds however I was mentally and physically drained after this latest bout of anxiety.
My Doc prescribed me with 50mg sertraline and advised to carry on with my psych sessions. I cut out caffeine and alcohol, and within a few days of beginning the meds I instantly felt better. Unsure if this was due to the detox or meds, I was feeling great. Very tired in the mornings after taking the meds, this was the fairly regular for the first 2 weeks. Bowel movements were loose, every morning for this period also.
Just beginning my 3rd week and I feel back to where i was before starting the sertraline. Reading everyones experiences and reviews is keeping me going, I know it will get better in a few weeks.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""This medicine worked absolute wonders for me for about three months. After the (pretty bad) first side effects went away, I was the happiest I had literally ever been on 10 mg daily. I had energy and motivation. However, after the honeymoon period, things started deteriorating, and my doctor upped my dosage to 15 mg, and from there to the highest possible dosage, 20 mg. 15 mg felt no different from 10 mg. 20 mg made me incredibly suicidal and only increased the initial depression symptoms that first made me turn to medication as a possible answer. I am now on Prozac and so far it's been much more effective than the Lexpro and has had far fewer negative side effects.""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Social Anxiety Disorder,"""I have taken sertraline for 10 years now. At the beginning, I had very bad side effects but knew that it is to be expected (having been on antidepressants before). I was going through so much brain fog during this particular period, I couldn't understand what people were talking about and felt very socially inept (didn't help that my so-called boyfriend at the time had a celebrity friend and wanted to go out and meet, etc.). I just wanted to go walking with the dog. After taking sertraline, the brain fog lifted but I took it at a too later stage. The so-called relationship ended but looking back I could see it was bad. My confidence came back in abundance and I was not frightened anymore. YOU WILL FEEL BAD TAKING IT AT FIRST AND NEED TO GIVE IT AT LEAST 8 WEEKS. I am still on 200mg.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Social Anxiety Disorder,"Zoloft (sertraline)""Did not work. I always felt hungry, and gained weight.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""My first few days I had a lot of nausea as expected then some increased anxiety. But after a few week to around 6 weeks in I was back to my old self. Life saver for me! Everyday prior to taking lexapro for months was a struggle with anxiety and random panic attacks, face tingling, unbalanced feeling and just feeling off all around. 4 months of taking 10 mg and what a relief. Back to socialization, eating better, feeling better With no face tingling. Give it a try for about 6 weeks for full effects and side effects will subside. They did for me.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Pain,"""Worked pretty well for some knee pain.

The only real issue I had with taking this,
Was that you need to eat something while taking it, otherwise it'll likely give you an Upset Stomach.""",,NSAID,Increased bleeding risk,Liver Disease,Aspirin,Ibuprofen,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I didn't think it loxalate could help me, I thought my bad life choices and my past and future was just something I had to live with. I didn't see myself as depressed, I just thought I had stuffed up my life.
I thought when I told my Dr that I was feely down he would question me intensively.
Not so !  He just handed me a small questionnaire with about 10 questions on how I was feeling ,,,, multi choice answers numbered 1 to 5 
My score result suggested I was depressed and he prescribed me 10mg loxa late tablets.   I felt relieved for the first few days, but then it took more than 2 weeks for the tablets to start. Now after 5 weeks I've gone from feeling 3 out of 10  to 6/10.  I never miss a tablet and I stopped my occasional alcohol drink""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
